tem No.,Part/Component Name,Description,Quantity,Unit Cost,Total Cost
1,Sensor,,,,
2,Keyence Laser Scanner,,,,
3,ATI Toolchanger,,,,
4,ATI Sensor Interface Plate System,,,,
5,Sunrise Instruments Load Cell,,,,
6,Sunrise Instruments Control Box,,,,
7,NITRA Pneumatic Solenoid Valve,,,,
8,NITRA Fluid Solenoid Valve,,,,
9,Hydraulic Valve,,,,
10,Gems Pressure Switch,,,,
